road,Accidents
"(10437530, 248494890, 0)",1
"(10437586, 248494193, 0)",1
"(10437622, 703828857, 0)",1
"(10437640, 10437641, 0)",1
"(10437641, 10437640, 0)",2
"(10437641, 5810713162, 0)",2
"(10437679, 49980803, 0)",1
"(10437695, 56240817, 0)",1
"(10437695, 2044477582, 0)",3
"(10437753, 250329334, 0)",3
"(10437898, 3619963834, 0)",1
"(10437921, 49555949, 0)",1
"(10437921, 1152092839, 0)",2
"(10438129, 10388541, 0)",3
"(10438140, 529127830, 0)",2
"(10438225, 690988927, 0)",1
"(10438278, 1325884771, 0)",1
"(10438291, 178889146, 0)",2
"(10438291, 278770733, 0)",1
"(10438318, 10438320, 0)",2
"(10438318, 2026820737, 0)",3
"(10438320, 10438318, 0)",3
"(10438320, 52842148, 0)",3
"(10438320, 137611663, 0)",1
"(10438326, 137611643, 0)",1
"(10438326, 137611663, 0)",1
"(10438432, 145291544, 0)",2
"(10438446, 1600452733, 0)",1
"(10439687, 1617635404, 0)",1
"(10439707, 10439711, 0)",1
"(10439707, 938315683, 0)",1
"(10439721, 6865232941, 0)",1
"(10439826, 3179846966, 0)",3
"(10439826, 9672254551, 0)",1
"(10439845, 49986327, 0)",1
"(10439848, 456361794, 0)",5
"(10439859, 4569657967, 0)",3
"(10439934, 249621266, 0)",3
"(10439948, 2477751827, 0)",1
"(10439958, 9823068, 0)",1
"(10439976, 10439965, 0)",3
"(10455711, 245504971, 0)",1
"(10455711, 1601246881, 0)",3
"(10455742, 249619858, 0)",4
"(10455742, 964811582, 0)",6
"(10455750, 6153685027, 0)",3
"(10455755, 245494234, 0)",1
"(10455755, 964814906, 0)",1
"(10455755, 6153685027, 0)",1
"(10455765, 964815381, 0)",1
"(10455765, 982373578, 0)",1
"(10455765, 982373631, 0)",1
"(10455768, 982373862, 0)",1
"(10456606, 10456602, 0)",1
"(10456676, 249727870, 0)",3
"(10456680, 1836072776, 0)",2
"(10456796, 249258933, 0)",1
"(10456796, 1296600676, 0)",2
"(10456828, 249813616, 0)",1
"(10456828, 982573864, 0)",1
"(10456828, 982573924, 0)",1
"(10456833, 10456870, 0)",1
"(10456833, 249813617, 0)",1
"(10456833, 964816317, 0)",1
"(10456833, 982573924, 0)",2
"(10456853, 964816110, 0)",2
"(10456858, 479750704, 0)",3
"(10456858, 964816070, 0)",3
"(10456858, 1601644577, 0)",2
"(10456870, 10456833, 0)",3
"(10456870, 10456888, 0)",5
"(10456870, 249803921, 0)",1
"(10456888, 10456870, 0)",1
"(10456888, 49551176, 0)",1
"(10457343, 30472179, 0)",1
"(10457346, 10457384, 0)",5
"(10457349, 4401369311, 0)",5
"(10457367, 317433534, 0)",1
"(10457368, 10457367, 0)",3
"(10457384, 4541882166, 0)",1
"(10457400, 1165979389, 0)",4
"(10457571, 55424776, 0)",4
"(10457571, 59776861, 0)",2
"(10457571, 890850414, 0)",2
"(10457572, 55424776, 0)",1
"(10457572, 1164555709, 0)",1
"(10457581, 21298211, 0)",2
"(10457581, 921345549, 0)",1
"(10457581, 921345570, 0)",1
"(10457590, 27081100, 0)",3
"(10457590, 319425602, 0)",1
"(10457600, 319425402, 0)",1
"(10457601, 10457605, 0)",1
"(10457612, 14908198, 0)",1
"(10457612, 6745335659, 0)",1
"(10457613, 5460562779, 0)",2
"(11082517, 11082514, 0)",1
"(11082549, 9025073895, 0)",2
"(11215293, 1943702883, 0)",1
"(11216145, 21591200, 0)",1
"(11216145, 2006366643, 0)",2
"(11216280, 1102678925, 0)",1
"(11216307, 278843669, 0)",1
"(11216307, 2006366553, 0)",1
"(11216345, 262304626, 0)",1
"(11216345, 895758773, 0)",1
"(11216345, 907520812, 0)",1
"(11216878, 11216993, 0)",3
"(11216993, 11216878, 0)",1
"(11217212, 8555374511, 0)",2
"(11217296, 29057279, 0)",1
"(11217296, 1407526679, 0)",1
"(11217310, 301279005, 0)",1
"(11217310, 302964985, 0)",1
"(11217496, 7261830376, 0)",2
"(11217816, 2413972438, 0)",1
"(11218080, 52111000, 0)",2
"(11218085, 52110995, 0)",1
"(11218085, 53379615, 0)",1
"(11218134, 31938222, 0)",1
"(11218134, 52647853, 0)",4
"(11218134, 52648208, 0)",1
"(11218335, 59605315, 0)",1
"(11218336, 59606551, 0)",1
"(11218336, 3871317035, 0)",2
"(11621598, 11621589, 0)",2
"(11621598, 305465258, 0)",1
